Stat,Historical Mean,Historical Std,Simulated Mean,Simulated Std,Mean % Diff,Std % Diff
pts,27.04,7.40,28.59,11.35,5.73,53.43
reb,7.94,3.08,8.17,5.85,2.87,90.05
ast,8.03,3.11,8.06,5.68,0.37,82.93
stl,1.17,1.11,1.41,1.53,20.14,37.64
blk,0.64,0.77,0.80,1.00,25.85,28.89
tov,3.57,1.72,3.96,2.72,11.14,57.71
minutes,35.24,4.66,34.59,4.22,-1.86,-9.53
fgm,10.19,2.97,11.01,4.95,7.99,66.87
fga,19.86,4.36,20.59,7.06,3.67,61.86
fg3m,2.28,1.67,2.29,1.64,0.74,-1.75
fg3a,6.38,2.48,6.12,2.59,-4.04,4.36
ftm,4.38,2.64,4.28,3.47,-2.20,31.53
fta,6.08,3.20,5.93,4.65,-2.39,45.27
