Stat,hist_mean,hist_std,hist_min,hist_p25,hist_p50,hist_p75,hist_max,sim_mean,sim_std,sim_min,sim_p25,sim_p50,sim_p75,sim_max
pts,27.03724928366762,7.40039525181468,10.0,22.0,26.0,32.0,56.0,28.586,11.35413743415797,3.0,20.0,28.0,36.0,66.0
reb,7.936962750716332,3.0778281922148323,0.0,6.0,8.0,10.0,20.0,8.165082352941175,5.84940254954312,0.0,4.0,7.0,11.0,22.023529411764706
ast,8.025787965616045,3.105782476927947,2.0,6.0,8.0,10.0,19.0,8.055682758620689,5.681557382618316,0.0,4.0,7.0,12.0,18.868965517241378
stl,1.174785100286533,1.1120268706990293,0.0,0.0,1.0,2.0,5.0,1.4114313453536753,1.5306419188598313,0.0,0.0,1.0,2.0,4.993065187239945
blk,0.6389684813753582,0.7740586211674931,0.0,0.0,0.0,1.0,4.0,0.8041590574374079,0.9976918555283661,0.0,0.0,0.0,1.0,3.1811487481590577
tov,3.567335243553009,1.7217903854829943,0.0,2.0,4.0,5.0,9.0,3.9646616541353388,2.7153929456954122,0.0,2.0,3.0,6.0,9.74436090225564
fgm,10.191977077363896,2.9692570067083848,3.0,8.0,10.0,12.0,19.0,11.006,4.954903241463404,1.0,7.0,11.0,14.25,27.0
fga,19.856733524355302,4.362469469714257,6.0,17.0,20.0,23.0,31.0,20.5852602739726,7.061141881493639,6.0,15.0,20.0,26.0,32.054794520547944
fg3m,2.2750716332378222,1.6674651448296467,0.0,1.0,2.0,3.0,9.0,2.292,1.638323596978583,0.0,1.0,2.0,3.0,8.0
fg3a,6.375358166189112,2.482020450741707,1.0,5.0,6.0,8.0,14.0,6.118,2.5902692890855903,0.0,4.0,6.0,8.0,15.0
ftm,4.378223495702006,2.6414438420295423,0.0,2.0,4.0,6.0,13.0,4.282,3.4742793834792547,0.0,2.0,4.0,6.0,14.0
fta,6.077363896848137,3.1979299944467936,0.0,4.0,6.0,8.0,15.0,5.932,4.645701355249212,0.0,2.0,4.0,8.0,15.0
minutes,35.24106972301815,4.659458616570263,10.6,33.25,35.7,37.88333333333333,49.75,34.585409851896124,4.215288022790937,18.100661872768438,32.537533167034304,34.92080893668769,37.16509720119342,44.28641929497491
